CRITERIA FOR SEARCH RESULTS:,,,,,,,,,,,,,,,,,,,,,,,,,,
Region: AUSTRALASIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Country: Australia,,,,,,,,,,,,,,,,,,,,,,,,,,
Commodity: Gold,,,,,,,,,,,,,,,,,,,,,,,,,,
Resource Date: Greater Than 01/Nov/2013,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Parent Number ID,Name,Propno,Latitude,,Longitude,,Status,Operator/Significant Owner,Reserve Date(Gold),Reserves - Tonnage(Gold),,Reserves - Grade(Gold),,Reserves - Contained Material(Gold),,Reserves - Category(Gold),Resource Date(Gold),Resources - Tonnage(Gold),,Resources - Grade(Gold),,Resources - Contained Material(Gold),,Resources - Category(Gold),Commodities
34115,,Wonder Gold Deposit,Gold,Measured Indicated Inferred,"4,716",",000t",1.948,g/t,295409,oz    ,0.5,27-Aug-13,5-Sep-13,,Yes,,,,,,,,,,,
51606,,Zoroastrian Gold Deposit,Gold,Indicated Inferred,"6,690",",000t",2.703,g/t,581337,oz    ,0.6,11-Nov-13,11-Nov-13,,Yes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Reserves/Resource Detail with Classification,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Resources are inclusive of reserves.,,,,,,,,,,,,,,,,,,,,,,,,,,
Property No,,Property Name,Mineral/Metal,Category,Tonnage,Tonnage Units,Grade,Grade Units,Contained Material,Contained Material Units,Cut Off Grade,Resource Date,Date Updated,Notes,Compliant,,,,,,,,,,,
22764,,Adelaide Hills Gold Project,Copper,N/A,,",000t",,%,0,t     ,0,,31-Oct-06,,No,,,,,,,,,,,
22764,,Adelaide Hills Gold Project,Gold,Inferred,430,",000t",13.96,g/t,192994,oz    ,1,30-Nov-13,2-Dec-13,Copied from Bird-in-Hand Gold Deposit - Main Reef.,Yes,,,,,,,,,,,
22764,,Adelaide Hills Gold Project,Gold,Inferred,105,",000t",10.55,g/t,35615,oz    ,1,30-Nov-13,2-Dec-13,Copied from Bird-in-Hand Gold Deposit - White Reef.,Yes,,,,,,,,,,,
